750	480	750	440	750	250
752	570	752	380	752	350
754	430	754	530	754	350
756	500	756	530	756	460
758	710	758	450	758	580
760	820	760	780	760	710
762	830	762	540	762	770
764	1140	764	880	764	780
766	1050	766	830	766	1040
768	1250	768	1110	768	1100
770	1360	770	1100	770	920
772	1500	772	1250	772	1310
774	1350	774	1410	774	1470
776	1710	776	1920	776	1810
778	2200	778	2060	778	1880
780	2540	780	2190	780	1900
782	2680	782	2450	782	2160
784	2910	784	2850	784	2350
786	3330	786	3440	786	3370
788	3760	788	3560	788	3280
790	4050	790	4000	790	3910
792	5030	792	4350	792	3790
794	5290	794	4680	794	4380
796	5770	796	5890	796	5170
798	6710	798	6490	798	5770
800	7080	800	7000	800	6660
802	8760	802	7890	802	7260
804	9440	804	8080	804	8220
806	10190	806	10120	806	8730
808	12110	808	11100	808	10000
810	13030	810	11520	810	10980
812	14070	812	12950	812	11990
814	15400	814	14260	814	13350
816	17120	816	15090	816	14520
818	19200	818	17430	818	16310
820	19300	820	18790	820	17390
822	22170	822	19930	822	19550
824	24040	824	22810	824	21630
826	27440	826	24030	826	23160
828	28420	828	25730	828	24990
830	32960	830	28540	830	28380
832	34820	832	32190	832	30740
834	39260	834	34040	834	33250
836	40660	836	37500	836	36610
838	45280	838	40210	838	40350
840	48640	840	43330	840	43350
842	53760	842	48000	842	46460
844	58610	844	52170	844	51160
846	63380	846	58020	846	55320
848	68230	848	61150	848	60580
850	76580	850	66770	850	65120
852	79990	852	70010	852	69950
854	87080	854	78050	854	75810
856	94990	856	84210	856	81010
858	98760	858	90130	858	87360
860	109890	860	94410	860	93170
862	114410	862	103100	862	99600
864	119430	864	108720	864	102690
866	129130	866	114120	866	108840
868	135550	868	120220	868	115420
870	140260	870	129220	870	120050
872	144960	872	130420	872	123460
874	147400	874	137240	874	126890
876	152310	876	141440	876	131930
878	153510	878	142430	878	133380
880	158330	880	147590	880	137130
882	156870	882	149280	882	138790
884	157120	884	151370	884	136840
886	156250	886	150290	886	136550
888	158520	888	148600	888	133130
890	151090	890	146170	890	132540
892	147440	892	141820	892	128140
894	141690	894	136050	894	124280
896	136210	896	133510	896	122030
898	131790	898	128150	898	118120
900	122640	900	121300	900	108740
902	115840	902	113900	902	105700
904	107070	904	106560	904	96960
906	98810	906	101190	906	91880
908	90570	908	91620	908	84320
910	82570	910	85020	910	77530
912	77600	912	77970	912	72580
914	68590	914	71830	914	68860
916	62760	916	64370	916	61360
918	57620	918	59290	918	54890
920	52720	920	54910	920	51680
922	46370	922	48370	922	44710
924	41430	924	43430	924	40420
926	37310	926	38930	926	36780
928	34570	928	35450	928	34270
930	28970	930	32100	930	30060
932	27000	932	28380	932	25800
934	23070	934	25200	934	23460
936	22030	936	22830	936	21900
938	18640	938	20180	938	18950
940	16610	940	17970	940	17460
942	14970	942	16400	942	15540
944	13130	944	13590	944	13250
946	11860	946	12940	946	11960
948	10530	948	10930	948	10770
950	8820	950	10430	950	9380
952	7970	952	9160	952	8830
954	7840	954	8410	954	7770
956	6670	956	7130	956	7320
958	5920	958	6860	958	6100
960	5260	960	6230	960	5640
962	4790	962	5160	962	5330
964	4250	964	4670	964	4670
966	3740	966	4260	966	3800
968	2890	968	3680	968	3600
970	3060	970	3360	970	3250
972	2750	972	3060	972	2700
974	2240	974	2620	974	2660
976	1950	976	2500	976	2060
978	1710	978	1830	978	1900
980	1390	980	1630	980	1890
982	1510	982	1650	982	1350
984	1260	984	1400	984	1140
986	1050	986	1270	986	1220
988	910	988	920	988	1050
990	850	990	930	990	780
992	550	992	980	992	710
994	570	994	650	994	740
996	520	996	550	996	600
998	480	998	480	998	450
1000	340	1000	500	1000	370
